"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2019年6月12日","8,175.40","7,903.10","8,238.80","7,822.30","9.14K","3.43%"
"2019年6月11日","7,904.10","8,018.80","8,048.90","7,711.30","6.53K","-1.37%"
"2019年6月10日","8,013.67","7,622.50","8,046.30","7,523.30","8.90K","4.90%"
"2019年6月9日","7,639.20","7,924.00","7,961.00","7,502.50","6.83K","-3.60%"
"2019年6月8日","7,924.60","8,002.10","8,064.80","7,802.00","4.77K","-0.84%"
"2019年6月7日","7,991.50","7,816.90","8,123.50","7,769.10","13.44K","2.38%"
"2019年6月6日","7,805.60","7,766.30","7,870.60","7,461.00","7.51K","0.21%"
"2019年6月5日","7,789.30","7,692.81","7,931.00","7,603.00","10.83K","1.25%"
"2019年6月4日","7,692.81","8,088.00","8,088.00","7,524.50","28.12K","-5.07%"
"2019年6月3日","8,103.40","8,740.10","8,740.10","8,050.10","18.66K","-7.28%"
"2019年6月2日","8,740.00","8,546.90","8,818.00","8,540.00","6.24K","2.26%"
"2019年6月1日","8,547.00","8,531.88","8,625.00","8,452.00","5.46K","0.16%"
"2019年5月31日","8,533.30","8,268.50","8,550.00","8,112.40","10.93K","3.18%"
"2019年5月30日","8,269.91","8,681.20","9,100.00","8,019.70","20.29K","-4.73%"
"2019年5月29日","8,680.90","8,738.10","8,794.90","8,490.00","10.30K","-0.69%"
"2019年5月28日","8,740.90","8,806.08","8,843.70","8,558.30","11.14K","-0.74%"
"2019年5月27日","8,806.00","8,730.00","8,951.00","8,661.00","17.56K","0.87%"
"2019年5月26日","8,729.90","8,054.90","8,820.00","7,880.20","20.14K","8.38%"
"2019年5月25日","8,054.90","7,990.00","8,135.00","7,950.40","4.34K","0.75%"
"2019年5月24日","7,994.90","7,872.10","8,158.60","7,801.60","10.92K","1.56%"
"2019年5月23日","7,872.40","7,619.90","7,957.10","7,496.30","10.55K","3.30%"
"2019年5月22日","7,621.10","7,933.60","8,030.00","7,507.90","10.78K","-3.98%"
"2019年5月21日","7,937.00","7,990.50","8,089.90","7,819.70","7.69K","-0.60%"
"2019年5月20日","7,985.00","8,188.30","8,188.30","7,601.00","16.90K","-2.50%"
"2019年5月19日","8,189.50","7,260.10","8,263.20","7,252.03","23.46K","12.80%"
"2019年5月18日","7,260.00","7,418.30","7,509.10","7,210.60","9.32K","-2.10%"
"2019年5月17日","7,415.40","7,857.50","7,905.70","7,067.36","29.02K","-5.62%"
"2019年5月16日","7,857.00","8,135.50","8,307.70","7,750.10","22.29K","-3.39%"
"2019年5月15日","8,132.90","7,951.90","8,208.90","7,837.60","19.04K","2.19%"
"2019年5月14日","7,958.30","7,753.20","8,194.10","7,684.12","29.32K","2.65%"
"2019年5月13日","7,753.20","6,980.10","8,049.90","6,883.90","36.47K","11.08%"
"2019年5月12日","6,979.90","7,125.10","7,448.00","6,860.00","31.96K","-2.19%"
"2019年5月11日","7,136.40","6,438.70","7,278.30","6,438.70","37.91K","10.84%"
"2019年5月10日","6,438.70","6,262.00","6,522.00","6,212.60","14.49K","2.88%"
"2019年5月9日","6,258.40","6,201.90","6,309.00","6,165.00","9.68K","0.93%"
"2019年5月8日","6,201.00","6,096.60","6,220.40","6,024.10","8.20K","1.86%"
"2019年5月7日","6,087.90","6,027.90","6,290.00","6,027.90","11.99K","1.00%"
"2019年5月6日","6,027.90","6,042.00","6,100.30","5,906.84","6.48K","-0.23%"
"2019年5月5日","6,042.00","6,098.17","6,112.00","5,956.20","5.82K","-0.92%"
"2019年5月4日","6,098.30","6,019.90","6,149.10","5,868.20","9.44K","1.37%"
"2019年5月3日","6,016.00","5,729.60","6,139.90","5,716.50","19.48K","5.11%"
"2019年5月2日","5,723.80","5,629.50","5,779.80","5,618.00","11.06K","1.67%"
"2019年5月1日","5,629.60","5,599.60","5,655.00","5,585.50","5.53K","0.54%"
"2019年4月30日","5,599.52","5,480.00","5,612.00","5,454.90","7.44K","2.18%"
"2019年4月29日","5,480.10","5,486.80","5,515.20","5,370.30","7.81K","-0.12%"
"2019年4月28日","5,486.80","5,400.60","5,542.20","5,400.60","7.76K","1.57%"
"2019年4月27日","5,401.80","5,410.90","5,456.90","5,355.40","4.57K","-0.17%"
"2019年4月26日","5,410.80","5,215.60","5,517.08","5,174.10","21.53K","3.68%"
"2019年4月25日","5,219.00","5,479.60","5,556.80","5,065.20","21.49K","-4.77%"
"2019年4月24日","5,480.30","5,547.10","5,647.40","5,415.00","16.53K","-1.27%"
"2019年4月23日","5,550.90","5,417.80","5,645.00","5,395.20","18.76K","2.46%"
"2019年4月22日","5,417.80","5,320.30","5,447.50","5,276.50","11.95K","1.80%"
"2019年4月21日","5,321.90","5,340.10","5,366.10","5,259.40","6.15K","-0.34%"
