"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2019年3月11日","54.964","56.800","57.436","54.303","14.12M","-3.24%"
"2019年3月10日","56.805","57.989","58.100","56.130","11.85M","-2.05%"
"2019年3月9日","57.992","55.779","59.515","55.594","15.23M","3.96%"
"2019年3月8日","55.781","56.839","57.569","54.625","15.33M","-1.86%"
"2019年3月7日","56.836","55.501","58.949","54.197","22.81M","2.41%"
"2019年3月6日","55.500","52.688","56.514","51.544","19.01M","5.34%"
"2019年3月5日","52.689","45.952","54.102","45.576","19.78M","14.66%"
"2019年3月4日","45.952","47.979","48.253","44.984","10.98M","-4.23%"
"2019年3月3日","47.979","48.619","49.115","47.463","9.06M","-1.30%"
"2019年3月2日","48.609","47.188","49.434","46.771","10.75M","3.01%"
"2019年3月1日","47.189","45.822","48.979","45.755","11.04M","2.99%"
"2019年2月28日","45.820","45.158","46.540","44.972","9.62M","1.47%"
"2019年2月27日","45.158","45.002","45.668","43.066","8.96M","0.32%"
"2019年2月26日","45.013","45.652","46.112","44.470","7.61M","-1.40%"
"2019年2月25日","45.651","43.847","46.927","43.806","9.17M","4.15%"
"2019年2月24日","43.834","51.424","53.406","42.723","14.25M","-14.76%"
"2019年2月23日","51.424","49.399","51.795","48.237","9.05M","4.10%"
"2019年2月22日","49.399","49.043","49.878","48.403","8.48M","0.73%"
"2019年2月21日","49.040","51.653","51.746","48.125","9.50M","-5.10%"
"2019年2月20日","51.674","47.435","52.188","46.669","11.83M","8.94%"
"2019年2月19日","47.433","47.939","48.999","46.833","10.29M","-1.05%"
"2019年2月18日","47.939","43.962","48.822","43.798","12.39M","9.03%"
"2019年2月17日","43.969","43.422","44.982","42.855","8.32M","1.26%"
"2019年2月16日","43.422","42.635","44.313","42.403","8.03M","1.85%"
"2019年2月15日","42.635","41.399","44.326","41.353","8.87M","2.99%"
"2019年2月14日","41.398","41.741","42.470","40.721","7.63M","-0.87%"
"2019年2月13日","41.763","43.946","44.642","41.002","8.59M","-4.96%"
"2019年2月12日","43.940","43.040","44.504","42.239","7.87M","2.11%"
"2019年2月11日","43.034","46.864","46.904","42.174","9.35M","-8.16%"
"2019年2月10日","46.858","44.707","47.293","42.398","10.12M","4.81%"
"2019年2月9日","44.709","43.144","46.151","42.248","10.31M","3.63%"
"2019年2月8日","43.144","33.328","44.657","32.976","15.28M","29.45%"
"2019年2月7日","33.327","32.894","33.719","32.868","5.02M","1.31%"
"2019年2月6日","32.896","34.394","34.525","32.441","6.68M","-4.35%"
"2019年2月5日","34.392","34.174","34.598","33.765","5.41M","0.64%"
"2019年2月4日","34.174","33.514","34.544","33.447","5.33M","1.97%"
"2019年2月3日","33.514","34.629","34.907","32.978","7.22M","-3.21%"
"2019年2月2日","34.625","32.753","34.954","32.488","7.65M","5.71%"
